aX,aY,aZ,gX,gY,gZ
4.0,-0.877,0.428,-28.259,-65.186,-44.312
4.0,0.379,2.058,-79.224,-153.32,-3.357
3.639,-0.622,1.525,-47.974,-261.902,152.893
3.076,-0.611,0.736,-57.312,-278.503,269.165
1.632,-0.305,0.064,-49.988,-196.228,294.373
0.307,-0.026,-0.161,-30.273,-98.267,237.915
-0.346,0.109,-0.17,-14.221,-12.085,194.031
-0.379,-0.01,-0.208,-10.803,52.795,175.964
-0.416,-0.085,-0.268,-12.207,99.243,164.734
-0.268,-0.114,-0.27,-21.179,131.226,158.691
-0.085,-0.115,-0.03,-27.283,156.86,160.95
0.009,-0.182,0.001,-22.705,163.757,158.936
0.027,-0.114,-0.114,-20.691,166.565,150.208
0.016,-0.025,-0.023,-24.231,166.931,144.348
0.001,0.053,-0.032,-23.56,152.1,137.634
-0.011,0.057,-0.055,-16.541,136.658,132.751
-0.008,0.108,0.013,-10.254,125.0,125.427
0.046,0.163,0.081,-4.456,111.572,116.638
0.098,0.16,0.11,2.502,96.252,105.286
0.108,0.208,0.135,8.728,80.444,89.539
0.158,0.209,0.139,14.526,62.012,74.402
0.227,0.186,0.124,19.592,43.213,56.641
0.275,0.187,0.114,24.353,25.269,35.217
0.345,0.178,0.097,28.931,7.751,13.855
0.427,0.15,0.081,32.288,-6.958,-5.737
0.495,0.127,0.068,33.63,-19.531,-23.499
0.57,0.093,0.065,33.325,-30.151,-37.354
0.693,0.051,0.075,30.884,-37.903,-46.448
0.785,0.032,0.068,26.245,-45.715,-51.819
0.845,0.019,0.048,21.301,-53.101,-52.734
0.873,0.025,0.047,17.517,-57.251,-49.438
0.893,0.031,0.043,14.893,-58.289,-43.274
0.887,0.04,0.023,13.55,-55.542,-36.255
0.864,0.062,0.004,13.184,-47.546,-30.334
0.843,0.065,-0.017,13.794,-33.569,-25.452
0.814,0.071,-0.035,14.465,-14.465,-23.865
0.805,0.088,-0.034,14.404,7.568,-25.208
0.82,0.079,-0.044,14.893,29.907,-28.076
0.867,0.082,-0.032,14.954,50.598,-32.166
0.924,0.081,-0.017,14.526,66.711,-35.706
0.979,0.08,-0.0,13.916,76.111,-38.208
1.029,0.076,0.014,13.367,79.163,-39.673
1.079,0.071,0.033,12.207,76.355,-40.1
1.112,0.064,0.051,11.597,67.871,-40.283
1.128,0.058,0.061,10.681,55.786,-39.917
1.128,0.055,0.069,9.827,41.87,-39.246
1.107,0.057,0.072,9.216,28.137,-38.513
1.078,0.055,0.068,8.789,16.296,-37.231
1.053,0.05,0.062,7.996,7.324,-35.461
1.028,0.043,0.054,7.019,1.099,-33.691
1.003,0.034,0.041,5.798,-2.136,-31.86
0.989,0.031,0.032,4.089,-3.296,-30.09
0.97,0.03,0.022,2.136,-2.563,-28.503
0.93,0.022,0.002,0.305,-0.61,-27.039
0.896,0.029,0.0,-2.197,3.906,-26.428
0.81,0.031,-0.021,-4.028,10.132,-26.306
0.815,0.093,0.009,-5.737,18.738,-25.146
1.056,-0.168,-0.088,-5.798,28.503,-20.63
1.058,0.012,-0.076,-9.094,34.79,-26.062
0.979,-0.014,0.043,-10.864,30.029,-27.405
1.056,0.015,-0.041,-15.259,24.414,-24.475
1.2,-0.036,-0.025,-16.602,19.836,-22.949
1.077,0.015,-0.008,-18.799,13.0,-24.597
1.134,0.016,0.019,-18.005,4.883,-22.827
1.088,-0.009,-0.035,-16.846,-3.601,-20.63
1.093,0.015,-0.016,-16.052,-7.019,-19.287
1.042,0.001,-0.043,-14.099,-10.498,-17.273
1.001,-0.001,-0.036,-12.207,-11.047,-16.357
1.0,0.014,-0.043,-11.414,-10.071,-16.602
