aX,aY,aZ,gX,gY,gZ
1.376,1.662,-0.943,-232.239,361.084,-114.929
1.42,1.825,-1.417,-304.382,424.133,-143.25
1.235,1.996,-1.807,-381.775,490.662,-169.25
1.192,2.295,-2.131,-444.641,543.884,-191.284
1.379,2.85,-2.34,-477.966,565.491,-200.317
1.639,3.518,-2.31,-465.881,547.058,-196.838
1.414,4.0,-2.155,-397.217,487.976,-192.2
0.934,3.877,-1.939,-279.175,400.146,-184.631
-3.184,4.0,3.955,-77.637,321.899,-172.913
-4.0,3.462,4.0,325.378,764.465,-132.385
2.484,-2.533,1.527,43.396,557.251,-249.023
4.0,-4.0,-2.688,-87.83,124.878,-293.945
0.569,-3.07,-0.299,-373.596,259.888,-358.398
0.205,2.39,2.813,-601.807,315.674,-490.601
1.924,-1.203,1.322,-397.461,125.916,-395.752
1.393,-3.886,-0.229,-296.204,-0.549,-305.359
0.267,-2.838,-0.804,-173.279,0.488,-317.139
1.373,-2.193,-0.069,20.02,45.227,-311.829
2.717,-2.942,0.171,227.356,65.247,-273.437
3.495,-3.978,0.01,356.689,106.812,-281.982
3.515,-4.0,-0.418,378.296,191.223,-311.646
3.06,-4.0,-0.918,291.565,303.406,-304.26
1.972,-4.0,-1.603,126.953,410.034,-237.488
1.385,-2.8,-1.971,-19.47,460.083,-111.206
1.911,-1.182,-1.056,-59.937,430.237,23.071
3.531,2.1,3.72,-9.033,286.804,159.851
2.001,1.982,3.446,189.27,11.841,263.733
-0.612,-1.938,0.671,235.901,-271.729,271.851
-1.447,-2.714,-0.374,120.239,-336.609,222.717
-1.981,-1.796,-0.265,33.691,-236.328,184.875
-2.275,-0.905,-0.055,-35.828,-85.876,84.351
-1.492,-1.066,-0.508,-75.928,38.147,-3.479
-0.204,-1.188,-0.542,-97.656,154.297,-79.834
0.099,-0.568,-0.284,-123.108,209.29,-142.883
0.151,-0.13,-0.291,-122.864,191.711,-151.367
0.259,-0.037,-0.203,-99.487,174.438,-124.878
0.881,-0.537,-0.109,-67.078,150.574,-92.896
0.585,-0.18,-0.075,-50.781,95.825,-86.182
0.632,-0.072,-0.214,-27.954,51.086,-50.049
0.734,-0.319,-0.148,-4.944,41.321,-13.245
0.694,-0.227,-0.028,10.864,25.574,7.935
0.808,-0.774,-0.255,22.644,-0.732,24.109
0.487,-0.65,-0.031,13.916,-18.127,10.437
0.495,-0.584,-0.228,3.052,-43.152,5.981
0.294,-0.621,-0.284,-5.188,-49.5,3.601
0.143,-0.685,-0.489,-10.315,-39.001,-1.709
0.176,-0.713,-0.496,-13.794,-12.268,-12.207
0.27,-0.691,-0.51,-16.113,16.052,-24.109
0.417,-0.655,-0.514,-17.456,34.485,-32.532
0.545,-0.668,-0.543,-16.052,39.49,-36.743
0.6,-0.614,-0.538,-13.916,35.583,-39.429
0.613,-0.64,-0.546,-11.475,28.32,-36.743
0.636,-0.644,-0.557,-11.292,21.179,-33.691
0.636,-0.62,-0.594,-12.695,15.808,-29.663
0.645,-0.591,-0.623,-14.526,14.465,-25.269
0.661,-0.572,-0.645,-15.442,15.259,-22.705
0.646,-0.551,-0.675,-15.808,17.395,-23.071
0.644,-0.531,-0.678,-14.282,20.691,-24.841
0.675,-0.514,-0.653,-11.536,22.705,-26.123
0.726,-0.514,-0.611,-7.874,21.851,-26.489
0.74,-0.518,-0.595,-4.517,17.395,-26.611
0.708,-0.542,-0.588,-1.77,12.451,-25.879
0.739,-0.571,-0.564,-0.61,9.46,-23.193
0.69,-0.549,-0.559,-2.075,4.578,-19.531
0.666,-0.567,-0.585,-3.784,1.343,-14.648
0.726,-0.619,-0.523,-5.676,2.197,-12.207
0.689,-0.542,-0.451,-8.789,-4.089,-12.085
0.757,-0.503,-0.437,-8.057,-18.921,-5.737
0.847,-0.723,-0.615,-2.747,-32.654,4.395
0.66,-0.859,-0.713,-4.944,-36.621,3.296
0.562,-0.722,-0.626,-14.893,-28.259,-5.615
