aX,aY,aZ,gX,gY,gZ
2.973,1.544,0.115,-122.681,743.652,-8.789
4.0,1.848,-0.235,-163.208,835.083,-9.033
4.0,2.452,-0.603,-205.017,864.319,9.094
4.0,3.095,-0.91,-220.276,827.82,45.227
4.0,3.452,-1.065,-188.416,741.882,95.093
4.0,3.345,-1.114,-119.019,635.193,152.893
4.0,2.815,-1.068,-34.729,546.509,223.877
4.0,2.012,-0.9,34.363,496.216,310.242
4.0,1.219,-0.74,79.834,490.967,388.794
4.0,0.266,-0.234,112.671,516.785,446.472
4.0,-0.235,-0.187,150.452,525.879,491.455
4.0,-0.68,0.258,199.585,513.855,536.133
3.873,-1.246,0.332,244.08,481.689,556.641
3.218,-1.906,0.359,282.043,447.144,560.791
2.503,-1.956,0.39,299.683,416.748,538.025
1.972,-1.822,0.321,313.171,410.583,519.836
1.937,-1.694,0.303,319.336,404.419,487.0
1.658,-1.615,0.234,317.688,381.165,441.528
1.437,-1.381,0.212,307.129,339.966,384.094
1.261,-1.097,0.237,289.429,286.072,326.721
0.941,-0.725,0.228,273.376,223.083,279.419
0.625,-0.463,0.221,264.587,164.551,243.713
0.331,-0.325,0.218,260.254,121.216,212.219
0.108,-0.368,0.235,250.671,98.267,177.795
-0.128,-0.569,0.183,231.689,93.384,139.099
-0.252,-0.719,0.115,198.364,109.253,97.839
-0.152,-0.732,0.011,153.442,142.09,65.674
-0.05,-0.653,-0.075,110.168,179.687,44.617
0.117,-0.641,-0.164,79.041,211.304,29.663
0.333,-0.524,-0.181,61.462,229.004,15.808
0.54,-0.317,-0.21,60.913,218.933,4.395
0.675,-0.188,-0.143,76.172,181.641,-2.136
0.714,-0.149,-0.147,101.746,122.681,-7.874
0.553,-0.151,-0.126,128.052,58.289,-11.108
0.26,-0.134,-0.105,147.949,4.822,-12.024
0.015,-0.152,-0.124,163.757,-26.794,-14.404
-0.106,-0.205,-0.14,171.936,-32.593,-21.057
-0.234,-0.235,-0.09,168.335,-16.724,-29.907
-0.037,-0.402,-0.092,153.381,9.644,-38.208
-0.052,-0.153,0.013,125.549,39.551,-49.072
0.115,-0.292,-0.005,101.99,65.002,-41.321
0.174,-0.124,0.447,76.721,82.764,-37.537
0.44,0.018,-0.218,54.016,73.608,-38.269
0.007,0.181,0.319,32.898,94.91,-30.518
0.376,0.215,0.102,34.119,74.463,-19.958
0.385,-0.021,0.094,32.898,69.458,-11.353
0.289,0.212,0.233,24.78,63.66,-20.142
0.385,0.197,0.215,23.865,48.279,-17.09
0.344,0.156,0.18,19.714,34.729,-17.944
0.233,0.283,0.279,10.193,29.724,-21.79
0.232,0.298,0.271,4.761,24.353,-20.386
0.172,0.341,0.282,-0.549,23.682,-18.616
0.159,0.344,0.278,-6.165,26.733,-16.357
0.104,0.336,0.255,-13.367,31.494,-16.785
0.085,0.426,0.244,-22.644,40.039,-19.653
0.051,0.417,0.202,-30.396,51.208,-19.714
0.244,0.517,0.337,-38.513,62.317,-23.437
0.314,0.538,0.299,-43.579,59.631,-22.705
0.364,0.499,0.267,-47.852,47.18,-17.761
0.276,0.584,0.236,-54.199,34.607,-18.127
0.278,0.617,0.218,-57.129,27.893,-16.602
0.252,0.661,0.205,-57.434,24.353,-17.212
0.247,0.666,0.207,-56.702,24.109,-17.212
0.283,0.623,0.195,-55.725,23.682,-17.029
0.279,0.712,0.213,-57.495,21.79,-20.142
0.263,0.718,0.18,-60.12,18.372,-20.935
0.288,0.718,0.135,-70.801,12.756,-21.545
0.303,0.75,0.13,-76.416,8.545,-24.109
0.334,0.779,0.141,-80.627,1.77,-26.428
0.353,0.759,0.132,-82.275,-9.033,-26.855
0.336,0.754,0.114,-82.764,-22.095,-28.625
0.301,0.826,0.097,-83.252,-32.837,-32.898
0.312,0.903,0.077,-83.862,-39.856,-37.598
0.32,1.006,0.086,-85.571,-44.556,-40.71
0.258,0.933,-0.003,-86.06,-47.729,-38.452
0.312,1.098,0.016,-90.454,-45.776,-40.527
0.326,1.029,-0.032,-92.834,-46.143,-36.743
0.359,1.065,-0.062,-96.741,-48.767,-37.292
0.365,1.139,-0.081,-103.76,-52.063,-40.161
0.46,1.146,-0.082,-104.919,-59.875,-39.001
0.403,1.135,-0.167,-102.6,-74.219,-37.964
0.288,1.238,-0.234,-99.06,-84.534,-37.537
0.342,1.282,-0.213,-94.91,-85.754,-33.997
0.279,1.126,-0.317,-82.397,-85.999,-31.921
0.317,1.235,-0.202,-76.05,-80.2,-39.368
0.299,1.173,-0.23,-65.552,-79.834,-43.579
0.398,1.207,-0.127,-57.495,-80.383,-49.561
0.459,1.179,-0.133,-50.049,-88.562,-54.993
0.493,1.146,-0.124,-45.959,-101.257,-59.937
0.524,1.167,-0.105,-47.974,-115.784,-63.721
0.503,1.131,-0.152,-50.293,-130.249,-62.683
0.475,1.089,-0.197,-54.138,-140.137,-59.631
0.413,1.1,-0.227,-56.946,-143.555,-59.265
0.358,1.079,-0.253,-55.115,-138.916,-58.899
0.354,1.067,-0.231,-51.025,-127.441,-59.631
0.375,1.044,-0.209,-45.41,-114.685,-61.523
0.465,1.052,-0.137,-39.551,-104.858,-62.561
0.509,1.017,-0.111,-33.203,-103.699,-60.608
0.495,0.964,-0.119,-27.832,-108.459,-57.8
0.438,0.96,-0.105,-23.254,-111.633,-59.082
0.433,0.967,-0.079,-18.799,-108.337,-61.768
0.431,0.957,-0.055,-15.015,-103.21,-63.11
0.453,0.933,-0.023,-13.672,-97.9,-63.477
