aX,aY,aZ,gX,gY,gZ
0.141,-1.724,0.898,10.437,-95.642,58.838
0.05,-1.886,0.912,11.658,-98.877,57.617
-0.044,-2.009,0.911,7.69,-94.788,55.725
-0.097,-2.072,0.91,-1.038,-83.191,52.002
-0.085,-2.086,0.897,-12.634,-66.772,46.082
-0.043,-2.064,0.884,-24.292,-49.255,37.903
0.002,-2.019,0.873,-32.715,-34.424,27.893
0.06,-1.937,0.88,-36.255,-23.743,16.785
0.142,-1.867,0.908,-34.058,-19.836,6.958
0.206,-1.827,0.928,-27.039,-25.696,-0.732
0.188,-1.791,0.89,-18.188,-39.795,-5.92
0.117,-1.757,0.814,-11.414,-55.725,-9.338
0.096,-1.743,0.739,-6.226,-68.298,-12.39
0.121,-1.71,0.698,0.244,-75.012,-18.25
0.148,-1.651,0.687,11.841,-75.989,-27.527
0.131,-1.571,0.662,28.32,-73.242,-38.513
0.088,-1.466,0.638,44.25,-65.552,-47.852
0.086,-1.339,0.61,58.35,-52.979,-54.626
0.048,-1.17,0.584,70.923,-36.682,-57.678
0.021,-0.991,0.588,79.102,-19.043,-55.908
0.047,-0.846,0.56,83.191,-4.639,-50.232
0.047,-0.723,0.525,84.717,10.559,-45.349
-0.009,-0.534,0.449,79.407,27.588,-41.687
-0.022,-0.324,0.431,69.763,46.57,-35.034
-0.003,-0.163,0.368,57.434,61.584,-25.513
0.042,-0.053,0.33,44.373,74.036,-15.076
0.112,-0.031,0.296,29.541,78.979,-4.944
0.15,-0.023,0.272,13.367,75.134,4.578
0.15,-0.025,0.23,-2.808,63.477,14.648
0.145,-0.047,0.2,-17.639,45.837,24.17
0.111,-0.079,0.171,-31.189,25.146,33.325
0.066,-0.115,0.141,-41.809,4.395,40.894
0.026,-0.124,0.102,-48.95,-14.893,44.8
-0.026,-0.112,0.045,-52.429,-30.64,44.739
-0.088,-0.089,-0.009,-52.917,-39.551,40.894
-0.143,-0.066,-0.049,-49.866,-41.199,34.424
-0.174,-0.05,-0.081,-43.701,-36.987,25.696
-0.173,-0.044,-0.106,-34.973,-27.344,14.038
-0.151,-0.027,-0.124,-24.963,-13.611,-0.549
-0.108,0.007,-0.115,-14.343,2.563,-16.418
-0.022,0.02,-0.078,-3.54,19.47,-30.945
0.066,-0.003,-0.022,7.263,33.325,-43.274
0.159,-0.031,0.028,16.174,42.297,-52.979
0.245,-0.059,0.076,22.766,45.41,-58.289
0.312,-0.093,0.11,27.344,42.847,-59.814
0.367,-0.119,0.135,29.358,35.156,-57.495
0.399,-0.134,0.15,27.71,24.414,-51.025
0.406,-0.134,0.157,22.339,12.085,-41.077
0.39,-0.134,0.157,15.198,0.427,-29.053
0.364,-0.139,0.154,7.446,-9.033,-16.663
0.339,-0.155,0.149,0.427,-16.296,-4.883
0.31,-0.167,0.139,-6.104,-20.874,5.798
0.277,-0.182,0.135,-11.963,-22.522,17.334
0.25,-0.203,0.148,-14.709,-22.156,27.649
0.256,-0.246,0.18,-15.503,-20.935,36.56
0.292,-0.332,0.216,-13.428,-21.362,43.457
0.33,-0.432,0.245,-9.521,-23.987,46.448
0.379,-0.507,0.286,-5.066,-28.503,45.898
0.428,-0.597,0.332,0.916,-36.133,43.152
0.436,-0.691,0.375,9.583,-47.607,39.734
0.36,-0.768,0.436,21.545,-60.73,40.222
0.22,-0.823,0.492,34.424,-71.96,46.448
0.069,-0.944,0.552,46.387,-80.139,57.739
-0.058,-1.217,0.613,54.81,-83.984,71.167
-0.147,-1.542,0.649,54.199,-84.778,81.238
-0.212,-1.769,0.671,40.955,-80.566,83.496
-0.253,-1.884,0.651,17.395,-70.74,78.918
-0.247,-1.989,0.602,-10.01,-57.556,69.397
-0.235,-2.162,0.55,-36.926,-42.786,55.481
-0.235,-2.298,0.509,-63.293,-26.794,39.856
-0.248,-2.296,0.501,-83.862,-10.864,24.536
-0.201,-2.205,0.518,-92.224,4.761,9.399
-0.033,-2.045,0.579,-85.449,18.555,-5.615
0.15,-1.807,0.695,-61.768,28.931,-21.912
0.241,-1.531,0.789,-27.466,34.424,-36.194
0.214,-1.328,0.824,8.423,36.865,-43.64
0.147,-1.236,0.836,41.748,40.466,-40.039
0.121,-1.256,0.854,67.749,47.729,-29.602
0.125,-1.329,0.867,83.252,57.495,-18.86
0.15,-1.375,0.907,87.585,67.078,-10.437
0.198,-1.342,0.932,80.566,74.829,-5.371
0.24,-1.287,0.92,66.528,78.796,-3.357
0.264,-1.224,0.893,50.11,78.003,-4.7
0.271,-1.143,0.863,33.63,73.486,-9.033
0.26,-1.045,0.819,18.677,65.857,-14.282
0.244,-0.95,0.764,6.775,57.068,-19.165
0.24,-0.863,0.708,-2.93,48.767,-22.644
0.238,-0.792,0.647,-10.376,41.321,-24.292
0.233,-0.727,0.59,-16.968,34.973,-24.841
0.236,-0.651,0.523,-23.071,29.602,-23.987
0.234,-0.582,0.46,-27.283,25.269,-21.606
0.228,-0.538,0.4,-28.809,22.095,-17.7
0.221,-0.519,0.356,-27.832,20.63,-12.512
0.22,-0.513,0.332,-25.574,20.508,-6.897
0.22,-0.495,0.315,-22.461,19.775,-1.831
0.223,-0.487,0.302,-19.165,18.372,4.395
0.228,-0.484,0.298,-15.625,15.015,10.498
0.225,-0.501,0.3,-12.268,9.583,17.273
0.221,-0.534,0.317,-8.911,2.075,23.621
0.187,-0.547,0.295,-6.714,-7.69,29.175
0.096,-0.57,0.25,-4.7,-15.442,36.011
-0.003,-0.617,0.246,-2.197,-16.968,43.152
0.031,-0.668,0.37,1.221,-16.418,47.546
0.122,-0.888,0.258,4.272,-23.926,46.875
-0.028,-0.77,0.251,2.686,-24.536,38.452
-0.045,-0.85,0.306,2.625,-17.883,39.307
-0.043,-0.939,0.262,2.869,-17.029,34.546
-0.048,-1.029,0.285,1.831,-8.728,30.457
-0.027,-1.052,0.302,-0.488,-1.221,23.682
-0.006,-1.086,0.324,-2.38,5.127,18.127
0.028,-1.129,0.341,-4.456,10.498,14.038
0.069,-1.15,0.339,-5.554,12.329,8.85
0.11,-1.15,0.348,-5.249,13.367,3.296
0.139,-1.129,0.341,-2.686,13.55,-2.136
0.158,-1.091,0.352,1.404,13.55,-5.859
0.181,-1.032,0.365,6.592,12.512,-8.789
0.204,-0.977,0.372,12.207,10.681,-9.827
0.225,-0.937,0.396,17.883,8.057,-8.301
0.246,-0.913,0.416,22.339,4.7,-5.066
0.352,-1.701,0.772,39.551,-29.846,1.587
0.303,-1.884,0.82,38.086,-28.259,5.371
0.251,-2.051,0.86,31.433,-19.897,9.277
0.247,-2.209,0.85,21.179,-8.484,14.038
0.302,-2.292,0.819,8.484,1.831,18.25
0.342,-2.318,0.802,-4.395,9.766,21.362
0.358,-2.319,0.808,-14.709,14.648,23.376
0.373,-2.299,0.806,-20.996,15.259,23.132
0.381,-2.25,0.802,-22.461,12.085,21.179
0.356,-2.198,0.793,-20.325,6.531,19.043
0.299,-2.149,0.754,-14.526,0.0,16.113
0.205,-2.101,0.688,-8.057,-5.066,12.573
0.124,-2.068,0.628,-2.136,-5.371,8.423
0.093,-2.012,0.578,2.441,0.549,2.136
0.117,-1.931,0.541,6.775,11.597,-6.836
0.153,-1.826,0.514,11.047,25.024,-18.799
0.178,-1.704,0.484,14.465,39.001,-33.569
0.211,-1.562,0.436,15.93,52.551,-48.889
0.231,-1.392,0.384,13.428,65.369,-62.073
0.255,-1.172,0.346,6.836,75.928,-71.411
0.255,-0.891,0.27,-2.258,83.191,-76.172
0.203,-0.57,0.163,-12.817,88.379,-75.012
0.195,-0.249,0.077,-23.499,93.201,-68.176
0.258,0.053,0.03,-31.494,95.276,-56.946
0.292,0.275,0.014,-34.546,90.393,-43.091
0.264,0.379,0.003,-32.227,78.186,-28.137
0.261,0.38,0.011,-26.489,60.12,-11.353
0.253,0.323,0.033,-19.836,35.889,5.127
0.198,0.231,0.055,-11.108,7.568,19.287
0.13,0.14,0.064,-0.916,-20.996,28.076
0.077,0.051,0.09,9.155,-47.18,32.532
-0.156,0.013,-0.031,20.081,-67.749,30.64
-0.328,-0.226,0.139,28.015,-56.274,23.865
-0.4,-0.132,0.039,25.391,-34.912,3.113
-0.262,-0.155,0.033,24.475,-10.01,-8.24
-0.033,-0.234,0.033,23.193,13.245,-22.095
0.043,-0.184,-0.031,21.301,21.057,-39.307
0.082,-0.186,0.007,22.339,22.888,-51.88
0.153,-0.206,0.015,24.536,19.531,-62.988
0.233,-0.187,0.04,26.917,15.381,-74.524
0.292,-0.159,0.052,29.541,10.437,-84.534
0.297,-0.126,0.058,32.471,5.493,-89.783
0.287,-0.111,0.073,35.278,1.221,-88.44
0.279,-0.114,0.085,37.964,-1.282,-82.214
0.279,-0.13,0.091,40.161,-2.38,-72.754
0.281,-0.134,0.093,42.236,-3.357,-61.157
0.274,-0.132,0.108,43.64,-4.028,-47.058
0.261,-0.133,0.122,44.8,-4.211,-30.945
0.233,-0.131,0.131,45.105,-3.967,-14.404
0.212,-0.127,0.132,44.922,-4.028,1.221
0.208,-0.127,0.124,44.067,-3.479,15.93
0.201,-0.125,0.128,43.579,-2.563,28.748
0.196,-0.128,0.131,42.969,-1.831,38.33
0.202,-0.142,0.142,43.152,-1.587,44.861
0.22,-0.166,0.165,43.884,-2.258,49.133
0.246,-0.194,0.198,45.41,-5.066,51.575
0.266,-0.214,0.252,46.997,-8.911,52.551
0.272,-0.248,0.305,46.936,-15.381,51.331
0.277,-0.286,0.303,44.617,-26.978,49.805
0.363,-0.315,0.322,40.283,-39.795,47.913
0.386,-0.393,0.373,34.668,-55.115,45.959
0.32,-0.57,0.428,27.954,-71.777,43.884
0.202,-0.873,0.524,17.517,-86.304,42.725
0.026,-1.142,0.64,-0.427,-93.018,41.016
-0.039,-1.381,0.656,-14.893,-98.45,36.804
0.063,-1.752,0.583,-15.442,-111.145,41.626
0.186,-2.123,0.537,-7.935,-125.183,58.777
0.125,-2.405,0.633,-7.324,-135.254,79.956
-0.089,-2.519,0.579,-23.437,-143.188,96.008
-0.135,-2.592,0.433,-44.8,-144.958,108.093
-0.124,-2.796,0.333,-58.228,-141.724,119.995
-0.164,-3.037,0.278,-69.763,-132.202,128.906
-0.174,-3.082,0.213,-84.412,-116.882,129.333
-0.093,-2.882,0.158,-101.685,-96.497,118.958
0.124,-2.431,0.194,-110.718,-74.402,99.854
0.413,-1.911,0.309,-99.121,-59.631,68.298
0.602,-1.473,0.398,-67.749,-57.434,24.78
0.523,-1.076,0.431,-30.029,-61.584,-20.569
0.353,-0.841,0.482,9.521,-61.035,-50.049
0.303,-0.893,0.533,51.819,-51.331,-65.552
0.347,-1.168,0.516,86.67,-38.513,-73.608
0.336,-1.347,0.479,104.004,-24.231,-75.623
0.294,-1.366,0.466,102.661,-8.118,-70.923
0.298,-1.312,0.466,89.966,8.545,-61.707
0.326,-1.21,0.453,72.815,22.339,-50.598
0.36,-1.127,0.435,56.091,32.837,-36.926
0.365,-1.076,0.414,41.809,37.109,-23.437
0.345,-1.054,0.376,30.212,35.339,-12.878
0.314,-1.035,0.359,20.752,30.579,-7.019
0.28,-0.972,0.345,15.32,23.804,-5.31
0.248,-0.895,0.34,14.343,16.052,-5.432
0.217,-0.818,0.33,17.151,7.629,-6.042
0.191,-0.734,0.321,22.705,-1.282,-8.057
0.16,-0.666,0.279,29.297,-8.85,-11.108
0.126,-0.651,0.246,35.889,-12.939,-15.991
0.102,-0.583,0.237,40.527,-13.733,-23.804
0.093,-0.54,0.2,43.518,-12.268,-29.602
0.107,-0.542,0.181,44.495,-6.836,-33.936
0.063,-0.474,0.126,44.556,0.244,-37.598
0.025,-0.452,0.129,45.654,12.512,-34.485
0.087,-0.491,0.208,47.241,23.926,-28.87
0.195,-0.577,0.222,49.377,26.978,-25.574
0.168,-0.695,0.136,49.622,27.1,-25.085
0.084,-0.533,0.231,45.959,32.288,-26.55
0.102,-0.636,0.256,44.617,33.264,-18.677
0.098,-0.647,0.239,42.419,29.907,-14.954
0.095,-0.742,0.221,38.269,27.771,-9.094
0.039,-0.778,0.177,31.738,28.137,-7.141
0.035,-0.891,0.183,24.292,34.18,-4.395
0.03,-0.967,0.153,15.32,39.429,-6.104
0.024,-1.052,0.133,5.676,46.448,-7.568
0.023,-1.135,0.124,-4.944,54.321,-9.949
0.031,-1.187,0.122,-15.93,62.439,-12.695
0.047,-1.243,0.124,-25.635,69.519,-15.015
0.067,-1.3,0.133,-33.142,75.439,-16.663
0.081,-1.369,0.132,-39.063,79.712,-17.517
0.09,-1.414,0.12,-43.457,82.886,-18.677
0.085,-1.419,0.099,-46.875,85.754,-19.775
0.093,-1.401,0.086,-48.523,89.355,-19.714
0.236,-1.979,0.394,-54.443,78.674,15.137
0.272,-2.014,0.398,-44.678,76.599,5.432
0.305,-2.024,0.403,-36.316,71.533,-5.188
0.333,-1.998,0.407,-29.785,64.148,-17.334
0.368,-1.944,0.412,-23.865,55.359,-30.518
0.403,-1.887,0.405,-17.7,46.448,-44.25
0.424,-1.839,0.386,-11.902,37.72,-57.678
0.44,-1.763,0.368,-5.92,29.541,-69.519
0.432,-1.633,0.358,-0.183,22.827,-77.82
0.413,-1.472,0.361,5.981,18.25,-82.214
0.411,-1.286,0.377,13.794,15.93,-83.191
0.428,-1.087,0.385,22.949,14.954,-81.116
0.439,-0.886,0.381,31.494,14.587,-76.721
0.453,-0.682,0.37,38.879,14.343,-70.374
0.469,-0.467,0.369,44.128,14.038,-62.012
0.48,-0.212,0.367,48.157,13.245,-52.246
0.472,0.081,0.37,51.636,11.23,-40.771
0.455,0.347,0.37,56.274,9.216,-26.367
0.427,0.479,0.345,62.439,6.409,-9.277
0.375,0.436,0.311,67.505,3.052,8.118
0.31,0.275,0.306,68.237,1.77,25.269
0.256,0.085,0.324,63.904,1.343,41.138
0.225,-0.059,0.351,55.359,-0.244,53.467
0.163,-0.14,0.31,44.617,-2.258,59.937
