aX,aY,aZ,gX,gY,gZ
0.53,1.849,-0.276,82.52,-75.684,-25.635
0.512,1.958,-0.375,95.398,-107.361,-25.146
0.46,2.082,-0.454,102.051,-140.93,-21.484
0.367,2.172,-0.469,102.173,-169.8,-16.357
0.18,2.382,-0.413,95.581,-189.026,-12.756
-0.037,2.413,-0.346,90.21,-194.397,-8.667
-0.251,2.326,-0.229,83.13,-178.833,-2.258
-0.436,2.259,0.068,66.284,-139.771,1.831
-0.501,2.017,0.379,45.41,-86.121,3.967
-0.442,1.577,0.667,19.348,-26.184,4.7
-0.269,0.971,0.981,-18.311,28.076,-0.061
0.054,0.274,1.294,-68.481,65.552,-6.592
0.414,-0.198,1.502,-129.456,66.223,-13.245
0.589,-0.492,1.569,-185.913,22.156,-16.235
0.59,-0.85,1.478,-220.886,-54.993,-10.498
0.383,-1.133,1.185,-226.868,-142.212,-3.784
-0.061,-1.404,0.923,-196.533,-206.238,-6.226
-0.453,-1.978,0.908,-135.864,-226.501,-17.334
-0.863,-2.804,1.305,-47.852,-206.177,-36.255
-1.109,-3.634,1.959,68.359,-154.907,-72.815
-0.958,-4.0,2.37,200.562,-74.768,-125.916
-0.51,-4.0,2.396,295.776,35.217,-189.636
0.335,-4.0,2.276,302.49,162.17,-239.624
1.215,-4.0,2.372,217.224,260.803,-256.104
1.99,-3.545,2.331,90.21,288.696,-239.258
2.379,-2.31,2.247,-13.123,245.544,-198.425
2.162,-1.099,2.027,-68.481,153.564,-142.578
1.751,-0.338,1.987,-72.632,50.049,-65.979
1.282,-0.252,1.812,-38.574,-46.265,20.142
0.676,-0.735,1.568,0.366,-117.432,96.741
0.029,-1.212,1.431,14.832,-149.048,142.883
-0.538,-1.481,1.329,7.08,-143.127,157.349
-0.905,-1.674,1.287,-9.338,-109.863,153.748
-1.068,-1.782,1.233,-27.222,-65.125,138.428
-1.059,-1.873,1.115,-43.457,-21.606,114.807
-0.912,-1.839,1.031,-57.983,13.855,87.952
-0.691,-1.68,1.002,-69.153,40.588,61.646
-0.457,-1.509,0.99,-71.838,59.448,39.49
-0.203,-1.385,0.98,-66.895,71.838,26.184
0.036,-1.277,0.989,-58.35,77.148,22.278
0.259,-1.201,1.024,-48.096,74.341,25.635
0.405,-1.141,1.078,-36.926,63.232,34.119
0.449,-1.096,1.125,-24.536,46.326,47.119
0.448,-1.133,1.16,-11.963,28.259,63.782
0.401,-1.2,1.129,-2.319,12.207,78.796
0.306,-1.203,1.089,2.197,2.625,87.891
0.24,-1.201,1.091,3.052,0.793,91.003
0.197,-1.232,1.091,1.099,3.601,89.294
0.154,-1.194,1.125,-8.484,9.705,82.764
0.181,-1.122,1.051,-22.888,14.893,72.388
0.094,-0.976,1.08,-38.879,21.301,57.8
0.137,-0.793,0.965,-50.415,26.978,47.852
0.175,-0.687,0.941,-56.213,33.813,42.48
0.286,-0.556,0.86,-60.791,38.513,37.231
0.239,-0.391,0.864,-60.791,40.71,32.41
0.285,-0.202,0.823,-56.885,43.152,31.006
0.31,-0.102,0.836,-47.791,43.396,31.372
0.392,-0.06,0.773,-37.598,40.71,33.508
0.338,-0.009,0.808,-29.663,37.292,31.738
0.396,0.011,0.803,-23.132,30.151,29.297
0.35,-0.001,0.781,-17.822,19.592,24.536
0.338,-0.0,0.786,-15.32,11.292,19.348
0.339,0.002,0.764,-13.611,3.296,15.564
0.35,0.02,0.758,-11.475,-1.526,11.963
0.341,-0.002,0.719,-7.935,-2.93,9.033
0.269,0.004,0.703,-4.517,3.906,6.653
0.324,0.03,0.757,-2.319,18.86,9.705
0.467,-0.066,0.715,0.977,31.86,16.602
0.508,-0.025,0.847,4.333,41.809,17.029
0.585,-0.006,0.919,9.46,43.213,16.724
0.62,-0.067,0.943,15.93,34.302,17.09
0.641,-0.1,0.981,19.47,20.569,18.494
0.55,-0.13,0.936,20.569,4.578,17.944
0.45,-0.131,0.896,18.555,-4.883,16.846
0.417,-0.146,0.889,14.648,-5.432,15.93
0.419,-0.139,0.909,9.949,-0.671,14.038
0.453,-0.134,0.942,6.409,5.127,11.108
0.498,-0.152,0.969,4.333,10.681,9.338
0.548,-0.176,0.983,2.441,13.672,9.521
0.555,-0.186,0.969,-1.221,13.916,10.193
0.537,-0.185,0.961,-4.761,14.038,10.681
0.486,-0.202,0.912,-8.057,15.747,10.376
0.452,-0.224,0.867,-11.23,20.569,9.46
0.475,-0.196,0.903,-14.221,25.757,6.653
0.536,-0.153,0.908,-16.602,23.132,4.089
0.551,-0.144,0.865,-16.846,13.489,3.601
0.513,-0.104,0.845,-16.846,4.578,3.54
0.456,-0.078,0.81,-15.503,-0.916,5.127
0.418,-0.088,0.795,-13.489,-0.793,8.423
0.435,-0.074,0.824,-12.634,2.93,10.62
0.419,-0.101,0.791,-11.047,4.822,10.62
0.436,-0.078,0.809,-9.644,6.287,8.545
0.371,-0.048,0.769,-7.629,6.714,5.188
0.42,-0.029,0.837,-6.287,9.949,2.93
0.436,-0.043,0.786,-2.93,9.583,2.075
0.422,-0.078,0.771,-1.404,12.512,-0.305
0.434,-0.045,0.841,0.122,16.724,-2.441
0.506,-0.056,0.823,-0.183,17.395,-4.089
0.489,-0.073,0.804,1.16,12.695,-5.798
0.486,-0.056,0.812,0.732,9.46,-7.141
0.467,-0.027,0.811,1.587,7.263,-8.118
0.477,-0.028,0.8,3.601,8.24,-8.301
0.501,-0.031,0.82,5.554,10.01,-8.484
0.509,-0.043,0.818,6.775,9.705,-7.996
0.506,-0.049,0.816,6.409,8.911,-6.958
0.497,-0.046,0.807,4.395,7.935,-4.761
0.463,-0.031,0.787,1.831,8.484,-2.38
0.457,-0.029,0.766,-0.732,10.193,1.221
0.452,-0.031,0.753,-2.869,11.841,3.357
0.454,-0.038,0.739,-4.272,12.207,3.845
0.45,-0.037,0.728,-5.615,10.498,2.991
0.458,-0.026,0.732,-6.531,7.141,0.671
0.445,-0.015,0.734,-5.737,3.418,-1.77
0.451,-0.006,0.746,-3.662,0.427,-2.93
0.469,-0.001,0.763,-0.916,-1.221,-2.808
0.482,-0.01,0.769,1.831,-3.54,-2.075
0.489,-0.031,0.773,3.54,-6.714,-0.671
0.454,-0.052,0.757,4.272,-9.094,0.549
0.402,-0.064,0.742,3.113,-8.545,0.854
0.399,2.333,-0.443,68.604,-65.43,-23.315
0.511,2.522,-0.515,74.646,-94.36,-28.503
0.52,2.657,-0.572,78.186,-126.526,-34.851
0.46,2.68,-0.613,79.773,-156.067,-34.973
0.286,2.628,-0.622,76.416,-178.589,-22.705
-0.067,2.653,-0.506,63.049,-187.073,2.075
-0.517,2.562,-0.266,45.532,-178.101,35.034
-0.922,2.219,-0.032,31.677,-151.489,66.04
-1.26,1.697,0.198,19.104,-108.521,80.322
-1.466,1.113,0.489,5.127,-53.772,70.984
-1.334,0.371,0.941,-9.644,7.08,42.419
-0.837,-0.423,1.424,-23.682,64.331,-1.16
-0.125,-1.073,1.813,-40.833,106.201,-56.152
0.96,-1.784,2.31,-71.472,120.667,-88.501
1.949,-2.426,2.704,-103.455,89.6,-80.444
1.822,-2.904,2.557,-119.324,9.705,-57.007
1.52,-3.339,2.321,-123.779,-66.04,-23.315
1.332,-3.045,2.316,-118.958,-98.083,7.507
0.914,-2.758,2.193,-86.548,-89.966,7.263
0.538,-2.518,1.923,-36.011,-45.288,-12.512
0.418,-2.415,1.706,6.165,23.193,-31.189
0.525,-2.257,1.633,34.79,91.125,-47.241
0.79,-2.118,1.67,49.561,137.268,-64.148
1.099,-2.07,1.758,50.842,149.353,-77.454
1.316,-1.894,1.832,39.368,125.549,-87.891
1.331,-1.65,1.857,25.024,78.43,-91.98
1.174,-1.396,1.793,16.235,25.513,-83.984
0.975,-1.284,1.602,12.207,-16.907,-64.941
0.744,-1.152,1.466,7.08,-40.466,-46.509
0.575,-1.132,1.297,1.465,-48.706,-29.236
0.521,-1.097,1.245,-4.578,-46.631,-15.442
0.472,-1.011,1.149,-9.888,-44.556,-6.409
0.384,-0.965,1.027,-10.864,-45.837,0.183
0.31,-0.936,0.919,-7.935,-46.875,6.042
0.231,-0.906,0.856,-0.61,-44.983,9.033
0.207,-0.872,0.844,8.972,-41.077,10.742
0.21,-0.845,0.854,19.165,-38.391,12.39
0.239,-0.882,0.864,26.855,-37.903,16.541
0.24,-0.919,0.863,29.114,-37.903,22.4
0.251,-0.907,0.905,25.757,-37.048,30.396
0.269,-0.891,0.921,20.813,-36.072,40.039
0.288,-0.882,0.935,15.625,-35.095,48.645
0.28,-0.85,0.955,10.254,-36.377,53.772
0.249,-0.787,0.979,5.737,-39.734,54.504
0.202,-0.743,0.966,3.601,-43.03,50.354
0.103,-0.729,0.926,3.845,-42.908,42.358
0.034,-0.724,0.899,3.723,-34.912,33.081
0.014,-0.712,0.878,2.93,-19.836,22.766
0.048,-0.708,0.867,2.93,-0.793,10.986
0.125,-0.699,0.876,3.235,18.311,-0.122
0.217,-0.687,0.892,3.784,34.79,-8.24
0.255,-0.741,0.776,4.7,48.34,-13.489
0.343,-0.568,1.036,2.625,66.833,-17.822
0.589,-0.716,0.865,4.211,68.481,-15.32
0.613,-0.678,0.983,4.15,59.265,-16.174
0.717,-0.603,1.056,-0.732,38.452,-9.094
0.658,-0.576,1.015,-3.113,10.01,0.61
0.622,-0.502,1.064,-4.7,-13.611,9.766
0.404,-0.504,0.888,-3.235,-31.677,16.663
0.341,-0.487,0.922,-1.465,-33.386,19.226
0.264,-0.493,0.854,2.563,-29.358,15.747
0.211,-0.48,0.839,4.578,-16.663,9.338
0.229,-0.44,0.854,5.554,-0.977,3.235
0.313,-0.398,0.877,7.202,11.353,-1.038
0.373,-0.389,0.854,10.498,17.151,-2.686
0.403,-0.35,0.896,13.672,17.822,-3.235
0.444,-0.331,0.932,17.029,13.794,-2.747
0.469,-0.346,0.939,19.775,6.775,-0.488
0.472,-0.356,0.949,19.104,0.0,2.991
0.424,-0.36,0.933,16.418,-4.517,6.714
0.408,-0.34,0.941,11.597,-4.272,9.033
0.429,-0.33,0.947,7.324,-2.014,10.071
0.448,-0.313,0.942,3.601,-1.16,11.414
0.447,-0.282,0.941,0.671,-1.77,13.733
0.437,-0.253,0.937,-1.343,-4.089,15.686
0.411,-0.234,0.924,-1.831,-6.592,17.334
0.383,-0.233,0.918,-1.77,-7.446,19.165
0.36,-0.241,0.911,-1.892,-6.409,20.63
0.339,-0.254,0.908,-2.441,-3.723,20.508
0.334,-0.268,0.903,-4.15,-0.305,19.043
0.344,-0.278,0.89,-6.592,3.662,16.602
0.358,-0.267,0.885,-9.277,7.263,14.587
0.379,-0.26,0.883,-11.658,9.277,13.733
0.397,-0.257,0.883,-12.756,8.728,13.611
0.397,-0.266,0.88,-12.695,5.981,13.55
0.38,-0.284,0.861,-12.512,2.441,13.184
0.362,-0.292,0.839,-12.695,-0.244,12.634
0.359,-0.286,0.852,-13.245,-0.732,11.597
0.346,-0.283,0.844,-13.733,-0.549,10.01
0.331,-0.316,0.833,-13.916,1.587,7.935
0.315,-0.278,0.845,-13.916,5.798,4.944
0.317,-0.323,0.844,-12.817,10.986,3.967
0.34,-0.33,0.843,-12.451,16.418,2.075
0.357,-0.319,0.857,-13.489,20.874,0.977
0.391,-0.312,0.869,-14.709,22.827,1.526
0.396,-0.315,0.845,-15.442,22.217,2.38
0.396,-0.304,0.848,-15.93,21.301,2.38
0.432,-0.304,0.876,-15.32,18.738,2.075
0.45,-0.31,0.869,-14.221,12.756,2.014
0.433,-0.31,0.856,-14.404,5.432,2.136
0.389,-0.304,0.847,-14.282,0.122,2.441
0.38,-0.291,0.86,-13.245,-1.282,2.625
0.39,-0.294,0.861,-12.207,-1.892,3.052
0.405,-0.297,0.864,-11.658,-2.441,3.296
0.378,-0.292,0.85,-11.536,-2.502,2.808
0.372,-0.287,0.853,-12.207,-0.488,2.563
0.367,-0.262,0.852,-12.207,2.441,1.282
0.392,-0.268,0.85,-11.475,5.676,0.305
0.401,-0.264,0.863,-10.437,7.507,-0.183
0.412,-0.27,0.87,-9.766,7.385,-0.122
0.421,-0.279,0.883,-9.399,5.188,-0.244
0.422,-0.281,0.879,-10.376,1.831,0.0
0.411,-0.269,0.878,-11.902,-1.953,0.305
0.398,-0.263,0.865,-12.878,-5.005,0.549
0.377,-0.259,0.85,-13.428,-6.47,0.61
0.361,-0.263,0.833,-13.123,-5.554,0.183
0.361,-0.27,0.829,-13.123,-2.502,-0.427
0.373,-0.262,0.832,-13.794,1.526,-0.977
0.404,-0.259,0.83,-14.16,5.31,-0.854
0.498,2.011,-0.407,81.482,-61.096,-31.555
0.64,1.978,-0.524,79.529,-70.74,-47.485
0.731,1.93,-0.572,75.134,-78.308,-60.73
0.758,1.892,-0.574,71.716,-87.158,-63.66
