aX,aY,aZ,gX,gY,gZ
0.538,-1.345,0.752,16.541,5.127,8.484
0.506,-1.358,0.716,9.705,-11.169,10.559
0.472,-1.365,0.684,3.235,-23.56,11.353
0.44,-1.349,0.66,-2.014,-30.762,10.986
0.409,-1.331,0.644,-5.188,-32.837,10.315
0.37,-1.311,0.623,-6.104,-30.823,9.521
0.35,-1.326,0.621,-4.333,-24.292,10.254
0.349,-1.33,0.618,-1.099,-15.381,10.681
0.351,-1.329,0.628,4.028,-5.798,10.742
0.363,-1.33,0.645,10.986,3.174,10.986
0.38,-1.332,0.661,18.738,10.803,11.658
0.406,-1.346,0.681,26.123,15.991,12.085
0.43,-1.366,0.69,32.349,18.433,11.353
0.441,-1.388,0.69,35.583,18.555,9.521
0.437,-1.424,0.687,35.767,16.418,6.836
0.416,-1.449,0.676,32.593,12.695,4.15
0.391,-1.451,0.654,26.306,8.484,1.77
0.367,-1.433,0.629,19.409,4.211,-0.916
0.342,-1.405,0.607,13.123,0.916,-3.845
0.325,-1.365,0.585,8.789,-1.77,-7.08
0.301,-1.327,0.559,7.08,-4.639,-10.498
0.281,-1.296,0.535,7.385,-6.897,-13.855
0.264,-1.278,0.514,9.705,-8.118,-16.785
0.261,-1.306,0.505,14.16,-8.179,-18.738
0.256,-1.329,0.507,18.799,-7.568,-19.348
0.243,-1.334,0.496,22.339,-7.568,-19.348
0.233,-1.348,0.477,25.513,-6.897,-18.738
0.222,-1.347,0.464,28.076,-4.15,-18.433
0.208,-1.344,0.459,29.785,-0.427,-18.799
0.195,-1.343,0.449,30.64,4.272,-20.203
0.186,-1.34,0.441,30.64,9.827,-21.912
0.181,-1.34,0.433,30.212,15.625,-23.987
0.171,-1.333,0.423,29.785,21.118,-25.879
0.175,-1.323,0.424,29.602,25.818,-27.832
0.171,-1.297,0.411,29.907,29.663,-30.09
0.16,-1.27,0.393,31.86,32.959,-32.166
0.164,-1.251,0.39,34.363,36.865,-34.546
0.171,-1.237,0.385,37.476,39.734,-37.598
0.189,-1.234,0.389,41.26,41.748,-40.71
0.209,-1.22,0.391,44.373,41.931,-44.128
0.228,-1.212,0.393,46.631,40.955,-46.326
0.249,-1.189,0.391,48.035,38.086,-47.302
0.264,-1.158,0.38,48.218,34.241,-46.814
0.27,-1.126,0.369,48.34,29.663,-45.654
0.269,-1.089,0.355,47.546,25.391,-43.64
0.289,-1.059,0.394,46.204,21.179,-40.894
0.351,-1.033,0.405,43.518,13.123,-38.879
0.341,-1.002,0.371,40.283,2.197,-37.17
0.253,-0.97,0.299,37.537,-4.395,-34.668
0.197,-0.962,0.303,36.987,-3.662,-31.982
0.174,-0.951,0.324,37.17,-0.366,-29.053
0.172,-0.935,0.322,36.438,2.625,-25.879
0.186,-0.932,0.316,35.156,5.859,-23.682
0.185,-0.91,0.306,33.752,8.118,-22.827
0.174,-0.878,0.304,31.799,10.559,-21.912
0.172,-0.843,0.302,29.236,12.085,-21.24
0.171,-0.802,0.289,26.428,13.306,-20.63
0.169,-0.765,0.278,23.376,14.771,-20.081
0.167,-0.73,0.262,21.118,16.907,-19.714
0.162,-0.703,0.248,19.043,19.714,-18.982
0.161,-0.677,0.236,16.785,23.315,-17.639
0.165,-0.66,0.229,15.137,27.222,-15.93
0.174,-0.647,0.23,13.916,31.128,-13.672
0.184,-0.634,0.233,12.451,33.691,-10.742
0.197,-0.616,0.235,11.719,34.973,-7.263
0.207,-0.594,0.234,10.742,34.851,-3.662
0.214,-0.572,0.232,9.094,33.386,-0.244
0.219,-0.552,0.232,7.629,31.189,3.784
0.219,-0.54,0.23,6.042,27.71,7.751
0.211,-0.526,0.225,4.395,23.987,11.23
0.2,-0.516,0.22,3.357,20.813,14.343
0.195,-0.511,0.224,2.075,18.066,17.395
0.194,-0.51,0.225,1.16,14.954,20.02
0.19,-0.513,0.225,0.488,11.597,22.583
0.183,-0.515,0.226,-0.427,7.996,25.024
0.171,-0.518,0.224,-1.343,4.028,27.344
0.156,-0.522,0.22,-2.197,0.671,29.358
0.142,-0.526,0.217,-3.479,-1.77,31.128
0.13,-0.536,0.212,-4.639,-3.784,32.471
0.119,-0.554,0.208,-5.92,-5.371,33.447
0.106,-0.571,0.208,-6.836,-6.409,33.63
0.093,-0.583,0.203,-7.507,-7.141,33.63
0.082,-0.598,0.199,-7.629,-7.629,33.02
0.07,-0.618,0.2,-7.874,-7.446,32.41
0.065,-0.645,0.193,-7.935,-7.568,31.372
0.059,-0.677,0.187,-7.812,-7.385,29.907
0.056,-0.712,0.192,-7.385,-7.385,27.832
0.055,-0.75,0.194,-6.653,-8.057,25.33
0.053,-0.791,0.2,-5.188,-8.85,22.4
0.055,-0.84,0.214,-3.357,-9.705,19.043
0.032,-0.889,0.238,-0.854,-10.986,15.625
0.007,-0.933,0.253,1.709,-10.62,11.963
0.005,-0.969,0.258,3.479,-8.545,8.179
0.016,-0.996,0.265,4.822,-4.639,4.333
0.036,-1.014,0.27,5.188,0.61,0.366
0.073,-1.03,0.272,4.272,6.531,-3.174
0.127,-1.032,0.27,2.625,11.841,-6.653
0.173,-1.03,0.271,0.061,15.137,-10.315
0.209,-1.017,0.277,-2.93,15.747,-13.245
0.241,-1.002,0.269,-4.944,13.367,-15.686
0.255,-0.999,0.27,-5.92,9.277,-16.846
0.262,-0.98,0.267,-6.287,4.211,-16.968
0.272,-0.957,0.273,-5.615,-0.427,-16.235
0.274,-0.94,0.27,-4.7,-4.578,-14.709
0.27,-0.934,0.266,-3.174,-8.057,-12.634
0.265,-0.93,0.262,-1.953,-10.071,-10.071
0.258,-0.931,0.257,-1.404,-11.353,-7.263
0.247,-0.942,0.253,-1.099,-11.414,-4.761
0.235,-0.961,0.255,-1.16,-10.559,-2.869
0.223,-0.974,0.256,-1.587,-8.85,-1.221
0.215,-0.983,0.258,-2.625,-6.348,0.732
0.208,-0.99,0.256,-3.174,-3.601,2.319
0.204,-0.996,0.258,-4.15,-0.61,3.662
0.202,-0.999,0.255,-5.493,2.502,4.7
0.205,-1.001,0.254,-6.287,4.944,5.249
0.214,-1.001,0.257,-6.897,6.653,5.493
0.221,-1.002,0.258,-7.446,7.141,5.554
0.23,-1.003,0.257,-6.836,6.409,5.432
0.236,-1.003,0.259,-6.47,4.883,5.676
0.18,-3.303,2.23,45.837,340.271,62.256
0.625,-2.308,2.142,-46.326,385.071,63.354
2.427,-1.392,1.714,-89.6,287.109,42.664
2.541,-1.8,1.28,-68.298,80.322,41.565
1.25,-1.761,0.373,-39.246,-133.118,36.255
0.223,-1.687,-0.248,-33.264,-225.037,47.485
-0.126,-1.742,-0.662,-38.452,-198.425,64.758
-0.099,-1.669,-0.672,-40.466,-121.582,66.65
-0.149,-1.719,-0.448,-34.485,-51.941,55.176
-0.191,-1.857,-0.038,-25.818,0.183,36.316
0.03,-1.806,0.342,-29.785,33.63,15.93
